"Name","SamAccountName","UPN","Email Address","Target Address","Cloud Name","Cloud Email Address"
"Administrator","Administrator",,"Administrator@office365bootcamp.net",,"Not matched","Not matched"
"Guest","Guest",,,,"Not matched","Not matched"
"krbtgt","krbtgt",,,,"Not matched","Not matched"
"Alan.Reid","Alan.Reid","Alan.Reid@office365bootcamp.net","Alan.Reid@office365bootcamp.net",,"Alan.Reid","Alan.Reid@office365bootcamp.net"
"Alannah.Shaw","Alannah.Shaw","Alannah.Shaw@office365bootcamp.net","Alannah.Shaw@office365bootcamp.net","SMTP:alannah.shaw@office365bootcamp.onmicrosoft.com","Alannah.Shaw","Alannah.Shaw@office365bootcamp.net"
"Bernadette.Hemming","Bernadette.Hemming","Bernadette.Hemming@office365bootcamp.net","Bernadette.Hemming@office365bootcamp.net","SMTP:bernadette.hemming@office365bootcamp.onmicrosoft.com","Bernadette.Hemming","Bernadette.Hemming@office365bootcamp.net"
"Bernadette.O'Connell","Bernadette.O'Connell","Bernadette.O'Connell@office365bootcamp.net","Bernadette.O'Connell@office365bootcamp.net","SMTP:bernadette.o'connell@office365bootcamp.onmicrosoft.com","Bernadette.O'Connell","Bernadette.O'Connell@office365bootcamp.net"
"Debbie.Lisa","Debbie.Lisa","Debbie.Lisa@office365bootcamp.net","Debbie.Lisa@office365bootcamp.net","SMTP:debbie.lisa@office365bootcamp.onmicrosoft.com","Debbie.Lisa","Debbie.Lisa@office365bootcamp.net"
"Debbie.Dalgliesh","Debbie.Dalgliesh","Debbie.Dalgliesh@office365bootcamp.net","Debbie.Dalgliesh@office365bootcamp.net","SMTP:debbie.dalgliesh@office365bootcamp.onmicrosoft.com","Debbie.Dalgliesh","Debbie.Dalgliesh@office365bootcamp.net"
"Ivana.Ferrary","Ivana.Ferrary","Ivana.Ferrary@office365bootcamp.net","Ivana.Ferrary@office365bootcamp.net","SMTP:ivana.ferrary@office365bootcamp.onmicrosoft.com","Ivana.Ferrary","Ivana.Ferrary@office365bootcamp.net"
"Jack.Hirschorn","Jack.Hirschorn","Jack.Hirschorn@office365bootcamp.net","Jack.Hirschorn@office365bootcamp.net","SMTP:jack.hirschorn@office365bootcamp.onmicrosoft.com","Jack.Hirschorn","Jack.Hirschorn@office365bootcamp.net"
"Kathy.Abdullahi","Kathy.Abdullahi","Kathy.Abdullahi@office365bootcamp.net","Kathy.Abdullahi@office365bootcamp.net","SMTP:kathy.abdullahi@office365bootcamp.onmicrosoft.com","Kathy.Abdullahi","Kathy.Abdullahi@office365bootcamp.net"
"Kavita.Sheikh","Kavita.Sheikh","Kavita.Sheikh@office365bootcamp.net","Kavita.Sheikh@office365bootcamp.net","SMTP:kavita.sheikh@office365bootcamp.onmicrosoft.com","Kavita.Sheikh","Kavita.Sheikh@office365bootcamp.net"
"Melanie.Thomas","Melanie.Thomas","Melanie.Thomas@office365bootcamp.net","Melanie.Thomas@office365bootcamp.net","SMTP:melanie.thomas@office365bootcamp.onmicrosoft.com","Melanie.Thomas","Melanie.Thomas@office365bootcamp.net"
"Merle.Elam","Merle.Elam","Merle.Elam@office365bootcamp.net","Merle.Elam@office365bootcamp.net","SMTP:merle.elam@office365bootcamp.onmicrosoft.com","Merle.Elam","Merle.Elam@office365bootcamp.net"
"Rowena.Khan","Rowena.Khan","Rowena.Khan@office365bootcamp.net","Rowena.Khan@office365bootcamp.net","SMTP:rowena.khan@office365bootcamp.onmicrosoft.com","Rowena.Khan","Rowena.Khan@office365bootcamp.net"
"Rupinder.Zaveri","Rupinder.Zaveri","Rupinder.Zaveri@office365bootcamp.net","Rupinder.Zaveri@office365bootcamp.net","SMTP:rupinder.zaveri@office365bootcamp.onmicrosoft.com","Rupinder.Zaveri","Rupinder.Zaveri@office365bootcamp.net"
"Theresa.Bolt","Theresa.Bolt","Theresa.Bolt@office365bootcamp.net","Theresa.Bolt@office365bootcamp.net","SMTP:theresa.bolt@office365bootcamp.onmicrosoft.com","Theresa.Bolt","Theresa.Bolt@office365bootcamp.net"
"Tina.Miller","Tina.Miller","Tina.Miller@office365bootcamp.net","Tina.Miller@office365bootcamp.net","SMTP:tina.miller@office365bootcamp.onmicrosoft.com","Tina.Miller","Tina.Miller@office365bootcamp.net"
"AAD_7b48a18315d9","AAD_7b48a18315d9",,,,"Not matched","Not matched"
"Tim Smith.","tim.smith","tim.smith@office365bootcamp.net","tim.smith@office365bootcamp.onmicrosoft.com","SMTP:tim.smith@office365bootcamp.onmicrosoft.com","Tim Smith.","tim.smith@office365bootcamp.onmicrosoft.com"
